original_filename,proposed_filename,date,year_month,account,issuer,addressee,amount,description,notes
receipt_01.jpg,2025-12_旅費交通費_東京タクシー_3240円.jpg,2025-12-03,2025-12,旅費交通費,東京タクシー株式会社,株式会社テクノブリッジ 様,3240,タクシー代として,
receipt_02.jpg,2025-07_旅費交通費_ホテルニューオータニ京都駅前_18900円.jpg,2025-07-12,2025-07,旅費交通費,ホテルニューオータニ京都駅前,中村あゆみ 様,18900,宿泊費として,
receipt_03.jpg,2026-02_旅費交通費_タイムズパーキング三宮第2_2750円.jpg,2026-02-03,2026-02,旅費交通費,タイムズパーキング三宮第2,井上雄太 様,2750,駐車場代として,
receipt_04.jpg,2025-11_研修費_日本経営協会_9800円.jpg,2025-11-08,2025-11,研修費,一般社団法人日本経営協会,木村真理子 様,9800,セミナー参加費として,
receipt_05.jpg,2025-10_事務用品費_キンコーズ上野店_680円.jpg,2025-10-01,2025-10,事務用品費,キンコーズ上野店,林大地 様,680,コピー代として,
receipt_06.jpg,2026-03_消耗品費_コメリ長野営業所_15400円.jpg,2026-03-15,2026-03,消耗品費,コメリ株式会社長野営業所,斎藤和也 様,15400,農業資材代として,
receipt_07.jpg,2025-06_会議費_ほっかほっか亭赤坂店_3980円.jpg,2025-06-30,2025-06,会議費,ほっかほっか亭赤坂店,山口恵美 様,3980,お弁当代として,
receipt_08.jpg,2026-04_修繕費_インテリアプラス_156000円.jpg,2026-04-01,2026-04,修繕費,株式会社インテリアプラス,株式会社リバーサイドホテル 様,156000,室内装飾費用として,
receipt_09.jpg,2025-12_荷造運賃_ヤマト運輸_1200円.jpg,2025-12-10,2025-12,荷造運賃,ヤマト運輸株式会社,藤田奈々 様,1200,宅配便送料として,
receipt_10.jpg,2026-02_接待交際費_和食ダイニング花月熱海店_27500円.jpg,2026-02-20,2026-02,接待交際費,和食ダイニング花月 熱海店,清水翔太 様,27500,懇親会費用として,
receipt_11.jpg,2025-09_修繕費_パソコンドクター札幌店_45000円.jpg,2025-09-18,2025-09,修繕費,株式会社パソコンドクター札幌店,高橋誠 様,45000,パソコン修理代として,
receipt_12.jpg,2025-11_接待交際費_居酒屋やまと新橋店_12800円.jpg,2025-11-15,2025-11,接待交際費,居酒屋やまと 新橋店,山田太郎 様,12800,飲食代として,会議費の可能性あり
receipt_13.jpg,2026-01_事務用品費_セブンイレブン森下駅前店_850円.jpg,2026-01-10,2026-01,事務用品費,セブンイレブン森下駅前店,佐藤美咲 様,850,文房具代として,
receipt_14.jpg,2025-10_支払手数料_ビジネスパートナーズ_78000円.jpg,2025-10-22,2025-10,支払手数料,株式会社ビジネスパートナーズ,株式会社グリーンフォレスト 様,78000,コンサルティング費用として,業務委託費でも可
receipt_15.jpg,2026-02_新聞図書費_紀伊國屋書店博多店_1580円.jpg,2026-02-14,2026-02,新聞図書費,紀伊國屋書店博多店,田中花子 様,1580,書籍代として,
receipt_16.jpg,2025-09_会議費_スターバックス渋谷スクランブル交差点店_430円.jpg,2025-09-05,2025-09,会議費,スターバックスコーヒー渋谷スクランブル交差点店,上様,430,コーヒー代として,
receipt_17.jpg,2026-03_印刷製本費_大日本印刷_245000円.jpg,2026-03-01,2026-03,印刷製本費,大日本印刷株式会社,株式会社オーシャンフーズ 様,245000,印刷費用として,
receipt_18.jpg,2025-08_旅費交通費_JR東日本新幹線窓口_6500円.jpg,2025-08-20,2025-08,旅費交通費,JR東日本新幹線窓口,小林拓也 様,6500,交通費として,
receipt_19.jpg,2025-12_接待交際費_花屋さくら奈良本店_4200円.jpg,2025-12-25,2025-12,接待交際費,花屋さくら 奈良本店,加藤さくら 様,4200,お花代として,
receipt_20.jpg,2026-01_通信費_デジタルソリューションズ_32400円.jpg,2026-01-28,2026-01,通信費,株式会社デジタルソリューションズ,株式会社フューチャーラボ 様,32400,ソフトウェアライセンス費用として,ソフトウェア費でも可
